date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-12-23,1468.72,1483.18,1462.93,1472.04,2160269.0,3300971424.0,1256197800.0,0.0017196885713380487
2024-12-24,1470.65,1488.97,1467.36,1483.97,2210492.0,3394160299.0,1256197800.0,0.001759668740066254
2024-12-25,1483.95,1483.95,1471.71,1475.47,1712339.0,2621061878.0,1256197800.0,0.0013631125607766548
2024-12-26,1479.33,1483.94,1468.72,1473.34,1828651.0,2798840003.0,1256197800.0,0.0014557030747864707
2024-12-27,1474.41,1481.25,1465.34,1474.48,2075932.0,3170191445.0,1256197800.0,0.001652551851308767
2024-12-30,1479.3,1488.93,1470.65,1470.65,2512982.0,3849542646.0,1256197800.0,0.002000466805466464
2024-12-31,1471.03,1489.93,1467.76,1469.68,3935445.0,6033540366.0,1256197800.0,0.003132822713110945
2025-01-02,1469.68,1470.15,1427.25,1434.97,5002870.0,7490883773.0,1256197800.0,0.003982549563452507
2025-01-03,1441.23,1441.71,1414.72,1422.43,3262836.0,4836610288.0,1256197800.0,0.0025973903154423612
2025-01-06,1401.21,1410.53,1381.73,1388.68,4425512.0,6392479712.0,1256197800.0,0.003522942008018164
2025-01-07,1393.17,1400.14,1387.71,1388.87,2422118.0,3494634227.0,1256197800.0,0.001928134247647942
2025-01-08,1388.68,1400.07,1375.81,1391.09,3525821.0,5071821246.0,1256197800.0,0.0028067403079355814
2025-01-09,1397.35,1412.38,1381.91,1392.53,2970565.0,4295852736.0,1256197800.0,0.0023647271154272043
2025-01-10,1395.52,1400.2,1384.82,1384.82,2187195.0,3154677598.0,1256197800.0,0.0017411230938312423
2025-01-13,1374.21,1392.96,1371.33,1392.51,2108251.0,3030806870.0,1256197800.0,0.0016782794875138294
2025-01-14,1393.45,1425.98,1390.6,1420.02,3095657.0,4535651504.0,1256197800.0,0.002464306974586327
2025-01-15,1414.71,1422.04,1407.97,1418.83,1839934.0,2701518712.0,1256197800.0,0.0014646849405404148
2025-01-16,1421.46,1429.82,1390.6,1394.83,2634213.0,3840411437.0,1256197800.0,0.002096973104076444
2025-01-17,1394.84,1408.93,1394.83,1402.9,1830894.0,2663227309.0,1256197800.0,0.0014574886216167549
2025-01-20,1408.93,1436.69,1407.96,1422.24,3140975.0,4647626351.0,1256197800.0,0.002500382503456064
2025-01-21,1428.21,1429.18,1412.79,1415.82,1685604.0,2481821229.0,1256197800.0,0.001341830084402313
2025-01-22,1411.12,1415.63,1386.75,1389.64,2829384.0,4088101682.0,1256197800.0,0.0022523395599005186
2025-01-23,1398.29,1415.68,1386.75,1391.57,2712504.0,3932700850.0,1256197800.0,0.0021592968877990394
2025-01-24,1390.6,1396.19,1379.33,1384.82,3136034.0,4515322685.0,1256197800.0,0.002496449205690378
2025-01-27,1385.78,1392.5,1376.16,1383.84,2935646.0,4213534543.0,1256197800.0,0.002336929741478611
